subject,group,selected_model,selection_reason,source_val_nll_00,source_val_acc_00,source_val_nll_01,source_val_acc_01,source_val_nll_07,source_val_acc_07,test_acc_00,test_acc_01,test_acc_07,selected_test_acc,selected_test_f1,delta_vs_07
0,weak,00_seed_paperfix,paperfix_guarded_by_val_nll_val_acc_and_nll_cap,0.3060939610004425,0.8890892696122633,0.32233285903930664,0.8793958521190262,0.33477160334587097,0.8872858431018936,0.8396464646464646,0.8156565656565656,0.7575757575757576,0.8396464646464646,0.8185714285714286,0.08207070707070707
3,weak,00_seed_paperfix,paperfix_guarded_by_val_nll_val_acc_and_nll_cap,0.2773537337779999,0.8981064021641119,0.2984899580478668,0.8879621280432822,0.28525498509407043,0.8848061316501352,0.7569444444444444,0.7064393939393939,0.7171717171717171,0.7569444444444444,0.7063310450038138,0.03977272727272729
7,weak,01_seed_sdrmpg,fallback_lower_source_val_nll_01_vs_07,0.30585840344429016,0.8899909828674482,0.30107352137565613,0.8963029756537421,0.3048436939716339,0.89404869251578,0.6805555555555556,0.735479797979798,0.7285353535353535,0.735479797979798,0.7945071113290829,0.006944444444444531
9,weak,07_seed_sdrmpg_rsc,fallback_lower_source_val_nll_01_vs_07,0.3277365267276764,0.8861587015329125,0.3545694649219513,0.8821009918845807,0.3448167145252228,0.8773669972948602,0.6761363636363636,0.6470959595959596,0.6799242424242424,0.6799242424242424,0.546916890080429,0.0
13,weak,01_seed_sdrmpg,fallback_lower_source_val_nll_01_vs_07,0.39100775122642517,0.8539224526600541,0.3979695737361908,0.8575293056807936,0.4042658507823944,0.8573038773669973,0.7702020202020202,0.7986111111111112,0.7304292929292929,0.7986111111111112,0.7910936476751801,0.06818181818181823
