group,num_subjects,baseline_07_test_acc,baseline_07_source_val_acc,baseline_07_val_test_gap,pair_16_test_acc,pair_16_delta_vs_07,guarded_27_test_acc,guarded_27_delta_vs_07
weak,5,0.7227272727272727,0.8801623083859333,0.15743503565866068,0.7493686868686869,0.026641414141414188,0.7621212121212121,0.039393939393939426
strong,3,0.9137205387205386,0.838668470093177,-0.07505206862736158,0.9088804713804715,-0.0048400673400671446,0.9088804713804715,-0.0048400673400671446
all,15,0.7962962962962963,0.8736699729486024,0.0773736766523061,0.8000420875420875,0.003745791245791219,0.8049242424242424,0.008627946127946151
