subject,group,selected_model,selection_reason,source_val_nll_00,source_val_acc_00,source_val_nll_01,source_val_acc_01,source_val_nll_07,source_val_acc_07,test_acc_00,test_acc_01,test_acc_07,selected_test_acc,selected_test_f1,delta_vs_07
10,strong,01_seed_sdrmpg,fallback_lower_source_val_nll_01_vs_07,0.3083435297012329,0.8884129846708747,0.28415653109550476,0.8884129846708747,0.29022282361984253,0.8884129846708747,0.9261363636363636,0.884469696969697,0.898989898989899,0.884469696969697,0.8913946587537092,-0.014520202020201989
12,strong,07_seed_sdrmpg_rsc,fallback_lower_source_val_nll_01_vs_07,0.41079455614089966,0.8442290351668169,0.4234156012535095,0.84107303877367,0.3838565945625305,0.8363390441839496,0.7512626262626263,0.7537878787878788,0.8787878787878788,0.8787878787878788,0.8661087866108786,0.0
14,strong,07_seed_sdrmpg_rsc,fallback_lower_source_val_nll_01_vs_07,0.5849076509475708,0.7912533814247069,0.5794955492019653,0.7806582506762849,0.5745801329612732,0.7912533814247069,0.889520202020202,0.9678030303030303,0.9633838383838383,0.9633838383838383,0.965435041716329,0.0
