method,result_id,acc,f1,weak_mean,strong_mean,selector,source_only
sdrmpg-rsc single anchor,07,0.7962962962962964,0.7852106799989614,0.7227272727272727,0.9137205387205387,False,True
SDRMPG-RSC-GS,27,0.8049242424242424,0.802263650661138,0.7621212121212122,0.9088804713804713,True,True
SDRMPG-RSC-GS-v2,69,0.8105218855218855,0.8046507845506733,0.7607323232323232,0.9137205387205387,True,True
