acc_margin,nll_slack,hard_acc_cap,mean_test_acc,mean_test_f1,weak_mean_test_acc,strong_mean_test_acc,beats_27_acc,passes_main_gates,selected_00,selected_01,selected_07
0.0025,0.0,0.865,0.8095959595959595,0.8039717854226969,0.7607323232323232,0.9137205387205387,True,True,3,1,11
0.0025,0.0,0.875,0.8095959595959595,0.8039717854226969,0.7607323232323232,0.9137205387205387,True,True,3,1,11
0.0025,0.0,0.88,0.8090909090909091,0.8038606492604016,0.7607323232323232,0.9137205387205387,True,True,3,2,10
0.0025,0.0025,0.865,0.8105218855218855,0.8046507845506733,0.7607323232323232,0.9137205387205387,True,True,3,2,10
0.0025,0.0025,0.875,0.8105218855218855,0.8046507845506733,0.7607323232323232,0.9137205387205387,True,True,3,2,10
0.0025,0.0025,0.88,0.810016835016835,0.804539648388378,0.7607323232323232,0.9137205387205387,True,True,3,3,9
0.0025,0.005,0.865,0.8105218855218855,0.8046507845506733,0.7607323232323232,0.9137205387205387,True,True,3,2,10
0.0025,0.005,0.875,0.8105218855218855,0.8046507845506733,0.7607323232323232,0.9137205387205387,True,True,3,2,10
0.0025,0.005,0.88,0.810016835016835,0.804539648388378,0.7607323232323232,0.9137205387205387,True,True,3,3,9
0.005,0.0,0.865,0.8095959595959595,0.8039717854226969,0.7607323232323232,0.9137205387205387,True,True,3,1,11
0.005,0.0,0.875,0.8095959595959595,0.8039717854226969,0.7607323232323232,0.9137205387205387,True,True,3,1,11
0.005,0.0,0.88,0.8090909090909091,0.8038606492604016,0.7607323232323232,0.9137205387205387,True,True,3,2,10
0.005,0.0025,0.865,0.8105218855218855,0.8046507845506733,0.7607323232323232,0.9137205387205387,True,True,3,2,10
0.005,0.0025,0.875,0.8105218855218855,0.8046507845506733,0.7607323232323232,0.9137205387205387,True,True,3,2,10
0.005,0.0025,0.88,0.810016835016835,0.804539648388378,0.7607323232323232,0.9137205387205387,True,True,3,3,9
0.005,0.005,0.865,0.8105218855218855,0.8046507845506733,0.7607323232323232,0.9137205387205387,True,True,3,2,10
0.005,0.005,0.875,0.8105218855218855,0.8046507845506733,0.7607323232323232,0.9137205387205387,True,True,3,2,10
0.005,0.005,0.88,0.810016835016835,0.804539648388378,0.7607323232323232,0.9137205387205387,True,True,3,3,9
0.0075,0.0,0.865,0.8095959595959595,0.8039717854226969,0.7607323232323232,0.9137205387205387,True,True,3,1,11
0.0075,0.0,0.875,0.8095959595959595,0.8039717854226969,0.7607323232323232,0.9137205387205387,True,True,3,1,11
0.0075,0.0,0.88,0.8090909090909091,0.8038606492604016,0.7607323232323232,0.9137205387205387,True,True,3,2,10
0.0075,0.0025,0.865,0.8105218855218855,0.8046507845506733,0.7607323232323232,0.9137205387205387,True,True,3,2,10
0.0075,0.0025,0.875,0.8105218855218855,0.8046507845506733,0.7607323232323232,0.9137205387205387,True,True,3,2,10
0.0075,0.0025,0.88,0.810016835016835,0.804539648388378,0.7607323232323232,0.9137205387205387,True,True,3,3,9
0.0075,0.005,0.865,0.8105218855218855,0.8046507845506733,0.7607323232323232,0.9137205387205387,True,True,3,2,10
0.0075,0.005,0.875,0.8105218855218855,0.8046507845506733,0.7607323232323232,0.9137205387205387,True,True,3,2,10
0.0075,0.005,0.88,0.810016835016835,0.804539648388378,0.7607323232323232,0.9137205387205387,True,True,3,3,9
